tool	size	predicates	totaltime	time-first	# results
rdfizer	01k_rows	2	1.72	1.31	2000
rmlmapper	01k_rows	2	0.92	0.92	2000
rdfizer	01k_rows	5	1.85	1.37	5000
rmlmapper	01k_rows	5	1.84	1.84	5000
rdfizer	01k_rows	10	1.98	1.44	10000
rmlmapper	01k_rows	10	3.36	3.36	10000
rdfizer	01k_rows	20	2.03	1.43	20000
rmlmapper	01k_rows	20	9.03	9.03	20000
rdfizer	01k_rows	30	2.25	1.55	30000
rmlmapper	01k_rows	30	18.41	18.41	30000
rdfizer	03k_rows	2	1.81	1.33	6000
rmlmapper	03k_rows	2	1.90	1.90	6000
rdfizer	03k_rows	5	1.94	1.34	15000
rmlmapper	03k_rows	5	6.00	6.00	15000
rdfizer	03k_rows	10	2.24	1.41	30000
rmlmapper	03k_rows	10	17.97	17.97	30000
rdfizer	03k_rows	20	2.39	1.47	60000
rmlmapper	03k_rows	20	63.15	63.15	60000
rdfizer	03k_rows	30	2.71	1.52	90000
rmlmapper	03k_rows	30	132.92	132.92	90000
rdfizer	10k_rows	2	2.01	1.30	20000
rmlmapper	10k_rows	2	10.06	10.06	20000
rdfizer	10k_rows	5	2.30	1.37	50000
rmlmapper	10k_rows	5	48.08	48.08	50000
rdfizer	10k_rows	10	2.67	1.36	100000
rmlmapper	10k_rows	10	170.87	170.87	100000
rdfizer	10k_rows	20	3.60	1.47	200000
rmlmapper	10k_rows	20	705.19	705.19	200000
rdfizer	10k_rows	30	4.63	1.58	300000
rmlmapper	10k_rows	30	1749.00	1749.00	300000